"Regency/City,Rambutan"
"Buton Tengah,0.161"
"Buton Selatan,0.146"
"Kota Kendari,0.179"
"Kota Baubau,0.103"
"Boalemo,0.229"
"Gorontalo,0.076"
"Pohuwato,0.113"
"Bone Bolango,0.052"
"Gorontalo Utara,0.061"
"Kota Gorontalo,0.112"
"Majene,0.194"
"Polewali Mandar,0.335"
"Mamasa,0.077"
"Mamuju,0.102"
"Mamuju Utara,0.039"
"Mamuju Tengah,0.127"
"Maluku Tenggara Barat,0.09025258799171844"
"Maluku Tenggara,0.036"
"Maluku Tengah,0.029"
"Buru,0.027"
"Kepulauan Aru,0.038"
"Seram Bagian Barat,0.06"
"Seram Bagian Timur,0.045"
"Maluku Barat Daya,0.09025258799171844"
"Buru Selatan,0.004"
"Kota Ambon,0.017"
"Kota Tual,0.019"
"Halmahera Barat,0.07"
"Halmahera Tengah,0.032"
"Kepulauan Sula,0.017"
"Halmahera Selatan,0.014"
"Halmahera Utara,0.089"
"Halmahera Timur,0.032"
"Pulau Morotai,0.03"
"Pulau Taliabu,0.023"
"Kota Ternate,0.107"
"Kota Tidore Kepulauan,0.077"
"Fakfak,0.145"
"Kaimana,0.112"
"Teluk Wondama,0.011"
"Teluk Bintuni,0.073"
"Manokwari,0.02"
"Manokwari Selatan,0.016"
"Pegunungan Arfak,0.01"
"Raja Ampat,0.012"
"Sorong,0.009"
"Sorong Selatan,0.017"
"Maybrat,0.028"
"Tambrauw,0.007"
"Kota Sorong,0.018"
"Jayapura,0.03"
"Kepulauan Yapen,0.019"
"Biak Numfor,0.002"
"Sarmi,0.004"
"Keerom,0.042"
"Waropen,0.002"
"Supiori,0.002"
"Mamberamo Raya,0.011"
"Kota Jayapura,0.014"
"Merauke,0.269"
"Boven Digoel,0.556"
"Mappi,0.063"
"Asmat,0.018"
"Mimika,0.006"
"Dogiyai,0.09025258799171844"
"Deiyai,0.09025258799171844"
"Nabire,0.002"
"Paniai,0.09025258799171844"
"Intan Jaya,0.09025258799171844"
"Puncak,0.09025258799171844"
"Puncak Jaya,0.001"
"Nduga,0.09025258799171844"
"Jayawijaya,0.019"
"Lanny Jaya,0.09025258799171844"
"Tolikara,0.09025258799171844"
"Mamberamo Tengah,0.09025258799171844"
"Yalimo,0.09025258799171844"
"Yahukimo,0.09025258799171844"
"Pegunungan Bintang,0.09025258799171844"
